ticketid,person,age,seat,team,eventType,date,gate,products
449,Sinclair Blythe,30,B18,null,null,21-Feb,B,"[Softdrink,Hotdog,Beer]"
251,Rodger Dorine,21,B18,null,null,3-Feb,B,"[Softdrink,Hotdog]"
115,Gertrude Jezza,20,B18,null,null,21-Feb,B,"[Softdrink,Hotdog,Book]"
469,Connie Nadia,32,B18,null,null,23-Feb,B,"[Softdrink,Book,Beer]"
304,Dennis Roseanne,38,B18,null,null,8-Feb,B,"[Softdrink,Beer]"
350,Melville Brenden,37,B18,null,null,12-Feb,B,"[Softdrink,Hotdog,Beer]"
156,Carissa Alexandria,19,B18,null,null,25-Feb,B,[Hotdog]
408,Justina Marisa,38,B18,null,null,17-Feb,B,"[Softdrink,Beer]"
106,Kade Fae,21,B18,null,null,20-Feb,B,"[Softdrink,Hotdog,Beer]"
420,Connell Sela,37,B18,null,null,18-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
9,Connie Nadia,32,B18,null,null,19-Jan,B,"[Softdrink,Book,Beer]"
178,Praise Karina,39,B18,null,null,23-Feb,B,"[Softdrink,Beer]"
142,Ty Jenessa,33,B18,null,null,24-Feb,B,[]
90,Mikayla Nevil,24,B18,null,null,19-Feb,B,"[Hotdog,Beer]"
39,Ferdinand Dwain,34,B18,null,null,23-Jan,B,"[Softdrink,Hotdog]"
123,Tad Kathryn,29,B18,null,null,22-Feb,B,[Beer]
127,Humphrey Tamela,20,B18,null,null,22-Feb,B,"[Softdrink,Hotdog,Book]"
433,Dennis Roseanne,38,B18,null,null,19-Feb,B,"[Softdrink,Hotdog]"
164,Lorraine Alyse,34,B18,null,null,11-Feb,B,"[Softdrink,Hotdog]"
211,Lexi Kester,32,B18,null,null,10-Feb,B,[Softdrink]
227,Charis June,32,B18,null,null,1-Feb,B,"[Softdrink,Beer]"
260,Lexi Kester,32,B18,null,null,4-Feb,B,"[Softdrink,Hotdog,Book]"
213,Justina Marisa,38,B18,null,null,10-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
240,Ty Jenessa,33,B18,null,null,2-Feb,B,"[Softdrink,Hotdog]"
199,Dennis Roseanne,38,B18,null,null,5-Feb,B,"[Softdrink,Hotdog]"
398,Lexi Kester,32,B18,null,null,16-Feb,B,[]
275,Humphrey Tamela,20,B18,null,null,5-Feb,B,[Softdrink]
372,Jeane Rosalie,32,B18,null,null,14-Feb,B,[]
61,Bethel Romy,32,B18,null,null,25-Jan,B,"[Softdrink,Book]"
443,Baxter Georgene,24,B18,null,null,20-Feb,B,[]
193,Ren Aron,37,B18,null,null,7-Feb,B,[Softdrink]
315,Justina Marisa,38,B18,null,null,9-Feb,B,[]
172,Mikayla Nevil,24,B4,null,null,23-Feb,B,"[Softdrink,Hotdog]"
11,Kristins Vin,26,B4,null,null,21-Jan,B,"[Softdrink,Book]"
366,Dennis Roseanne,38,B4,null,null,14-Feb,B,[Beer]
353,Byrne Oralie,18,B4,null,null,13-Feb,B,[Beer]
184,Karter Eppie,32,B4,null,null,7-Feb,B,"[Softdrink,Hotdog]"
454,Ibrahim Gerarda,29,B4,null,null,22-Feb,B,[Softdrink]
392,Charis June,32,B4,null,null,16-Feb,B,"[Book,Beer]"
278,Dennis Roseanne,38,B4,null,null,6-Feb,B,"[Softdrink,Hotdog,Book]"
290,Pece Ravi,30,B4,null,null,7-Feb,B,"[Softdrink,Hotdog,Book]"
311,Byrne Oralie,18,B4,null,null,9-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
234,Rebekah Sharlene,40,B4,null,null,2-Feb,B,"[Softdrink,Book]"
135,Byrne Oralie,18,B4,null,null,24-Feb,B,"[Hotdog,Beer]"
379,Gertrude Jezza,20,B4,null,null,15-Feb,B,[]
417,Jeane Rosalie,32,B4,null,null,18-Feb,B,"[Softdrink,Hotdog]"
441,Karter Eppie,32,B4,null,null,20-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
300,Ibrahim Gerarda,29,B4,null,null,8-Feb,B,"[Softdrink,Hotdog,Beer]"
244,Debbi Carley,35,B4,null,null,3-Feb,B,"[Softdrink,Hotdog]"
123,Tad Kathryn,29,B4,null,null,22-Feb,B,[Beer]
159,Crew Susanna,20,B4,null,null,11-Feb,B,[Hotdog]
329,Rebekah Sharlene,40,B4,null,null,10-Feb,B,"[Softdrink,Hotdog,Beer]"
490,Sinclair Kendal,21,B4,A,Fight,24-Jan,B,"[Softdrink,Hotdog]"
197,Connie Nadia,32,B4,null,null,5-Feb,B,"[Hotdog,Beer]"
431,Praise Karina,39,B4,null,null,19-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
111,Rebekah Sharlene,40,B4,null,null,21-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
211,Lexi Kester,32,B4,null,null,10-Feb,B,[Softdrink]
95,Justina Marisa,38,B4,null,null,20-Feb,B,"[Softdrink,Hotdog]"
179,Moreen Caren,29,B4,null,null,23-Feb,B,"[Softdrink,Hotdog]"
57,Ibrahim Gerarda,29,B4,null,null,25-Jan,B,"[Softdrink,Book,Beer]"
112,Gertie Cierra,33,B4,null,null,21-Feb,B,"[Book,Beer]"
26,Mikayla Nevil,24,B4,null,null,22-Jan,B,"[Softdrink,Hotdog,Beer]"
272,Marcy Ruthie,21,B4,null,null,5-Feb,B,"[Hotdog,Book]"
36,Charis June,32,B4,null,null,23-Jan,B,"[Softdrink,Beer]"
221,Bethel Romy,32,B4,null,null,1-Feb,B,"[Softdrink,Hotdog]"
341,Kristins Vin,26,B4,null,null,12-Feb,B,"[Softdrink,Hotdog,Book]"
256,Melville Brenden,37,B4,null,null,4-Feb,B,"[Hotdog,Beer]"
73,Connell Sela,37,B4,null,null,20-Jan,B,"[Book,Beer]"
332,Gertie Cierra,33,B4,null,null,11-Feb,B,[Hotdog]
38,Tad Kathryn,29,B17,null,null,23-Jan,B,"[Softdrink,Hotdog]"
52,Tad Kathryn,29,B17,null,null,24-Jan,B,"[Softdrink,Hotdog]"
127,Humphrey Tamela,20,B17,null,null,22-Feb,B,"[Softdrink,Hotdog,Book]"
211,Lexi Kester,32,B17,null,null,10-Feb,B,[Softdrink]
396,Moreen Caren,29,B17,null,null,16-Feb,B,"[Softdrink,Beer]"
304,Dennis Roseanne,38,B17,null,null,8-Feb,B,"[Softdrink,Beer]"
141,Connie Nadia,32,B17,null,null,24-Feb,B,"[Hotdog,Book]"
444,Mikayla Nevil,24,B17,null,null,20-Feb,B,"[Softdrink,Hotdog]"
464,Ty Jenessa,33,B17,null,null,23-Feb,B,"[Softdrink,Hotdog]"
31,Ferdinand Dwain,34,B17,null,null,22-Jan,B,"[Softdrink,Hotdog,Book]"
89,Connell Sela,37,B17,null,null,19-Feb,B,"[Softdrink,Beer]"
13,Connell Sela,37,B17,null,null,21-Jan,B,"[Softdrink,Hotdog,Beer]"
408,Justina Marisa,38,B17,null,null,17-Feb,B,"[Softdrink,Beer]"
371,Roseanne Winfield,23,B17,null,null,14-Feb,B,[Softdrink]
284,Tad Kathryn,29,B17,null,null,6-Feb,B,"[Softdrink,Beer]"
123,Tad Kathryn,29,B17,null,null,22-Feb,B,[Beer]
106,Kade Fae,21,B17,null,null,20-Feb,B,"[Softdrink,Hotdog,Beer]"
239,Lexi Kester,32,B17,null,null,2-Feb,B,[]
8,Marcy Ruthie,21,B17,null,null,19-Jan,B,"[Softdrink,Hotdog,Beer]"
260,Lexi Kester,32,B17,null,null,4-Feb,B,"[Softdrink,Hotdog,Book]"
274,Roseanne Winfield,23,B17,null,null,5-Feb,B,"[Hotdog,Book]"
75,Gertie Cierra,33,B17,null,null,20-Jan,B,"[Softdrink,Hotdog,Beer]"
226,Alysa Sara,35,B17,null,null,1-Feb,B,"[Softdrink,Beer]"
420,Connell Sela,37,B17,null,null,18-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
114,Carey Dakota,21,B17,null,null,21-Feb,B,"[Softdrink,Hotdog]"
433,Dennis Roseanne,38,B17,null,null,19-Feb,B,"[Softdrink,Hotdog]"
199,Dennis Roseanne,38,B17,null,null,5-Feb,B,"[Softdrink,Hotdog]"
156,Carissa Alexandria,19,B17,null,null,25-Feb,B,[Hotdog]
345,Moreen Caren,29,B17,null,null,12-Feb,B,[Softdrink]
191,Crew Susanna,20,B17,null,null,7-Feb,B,"[Softdrink,Hotdog,Book]"
163,Jeane Rosalie,32,B17,null,null,11-Feb,B,[Book]
178,Praise Karina,39,B17,null,null,23-Feb,B,"[Softdrink,Beer]"
449,Sinclair Blythe,30,B17,null,null,21-Feb,B,"[Softdrink,Hotdog,Beer]"
359,Suz Sophie,27,B17,null,null,13-Feb,B,"[Softdrink,Hotdog,Book]"
251,Rodger Dorine,21,B17,null,null,3-Feb,B,"[Softdrink,Hotdog]"
213,Justina Marisa,38,B17,null,null,10-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
388,Gertie Cierra,33,B17,null,null,15-Feb,B,"[Hotdog,Beer]"
293,Gertrude Jezza,20,B17,null,null,7-Feb,B,"[Softdrink,Book,Beer]"
160,Mikayla Nevil,24,B17,null,null,11-Feb,B,"[Softdrink,Hotdog]"
61,Bethel Romy,32,B17,null,null,25-Jan,B,"[Softdrink,Book]"
315,Justina Marisa,38,B17,null,null,9-Feb,B,[]
407,Gertrude Jezza,20,B13,null,null,17-Feb,B,[Softdrink]
303,Bethel Romy,32,B13,null,null,8-Feb,B,"[Book,Beer]"
238,Lorraine Alyse,34,B13,null,null,2-Feb,B,"[Softdrink,Hotdog]"
313,Rodger Dorine,21,B13,null,null,9-Feb,B,"[Softdrink,Beer]"
325,Charis June,32,B13,null,null,10-Feb,B,"[Softdrink,Hotdog]"
249,Praise Karina,39,B13,null,null,3-Feb,B,[Softdrink]
7,Jeane Rosalie,32,B13,null,null,19-Jan,B,"[Softdrink,Beer]"
208,Mikayla Nevil,24,B13,null,null,5-Feb,B,"[Softdrink,Hotdog]"
51,Connell Sela,37,B13,null,null,24-Jan,B,[Beer]
74,Carissa Alexandria,19,B13,null,null,20-Jan,B,"[Softdrink,Beer]"
30,Bethel Romy,32,B13,null,null,22-Jan,B,[Softdrink]
356,Tad Kathryn,29,B13,null,null,13-Feb,B,[Hotdog]
190,Ibrahim Gerarda,29,B13,null,null,7-Feb,B,"[Softdrink,Hotdog,Beer]"
139,Connell Sela,37,B13,null,null,24-Feb,B,"[Softdrink,Book]"
343,Karter Eppie,32,B13,null,null,12-Feb,B,"[Softdrink,Hotdog]"
334,Lexi Kester,32,B13,null,null,11-Feb,B,"[Softdrink,Hotdog,Book]"
151,Kade Fae,21,B13,null,null,25-Feb,B,"[Hotdog,Beer]"
212,Bethel Romy,32,B13,null,null,10-Feb,B,"[Softdrink,Beer]"
395,Byrne Oralie,18,B13,null,null,16-Feb,B,"[Softdrink,Hotdog]"
423,Justina Marisa,38,B13,null,null,18-Feb,B,"[Softdrink,Book]"
175,Julian Monday,21,B13,null,null,23-Feb,B,"[Softdrink,Book]"
60,Suz Sophie,27,B13,null,null,25-Jan,B,"[Softdrink,Hotdog]"
381,Tad Kathryn,29,B13,null,null,15-Feb,B,[]
126,Justina Marisa,38,B13,null,null,22-Feb,B,"[Hotdog,Book,Beer]"
370,Justina Marisa,38,B13,null,null,14-Feb,B,"[Softdrink,Hotdog]"
281,Gertie Cierra,33,B13,null,null,6-Feb,B,"[Softdrink,Hotdog]"
84,Kristins Vin,26,B13,null,null,19-Feb,B,"[Hotdog,Book,Beer]"
87,Bethel Romy,32,B13,null,null,19-Feb,B,"[Hotdog,Book,Beer]"
456,Sinclair Blythe,30,B13,null,null,22-Feb,B,"[Softdrink,Book]"
442,Marcy Ruthie,21,B13,null,null,20-Feb,B,[Softdrink]
162,Praise Karina,39,B13,null,null,11-Feb,B,"[Softdrink,Beer]"
259,Pece Ravi,30,B13,null,null,4-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
231,Dennis Roseanne,38,B13,null,null,1-Feb,B,[Hotdog]
51,Connell Sela,37,B15,null,null,24-Jan,B,[Beer]
96,Debbi Carley,35,B15,null,null,20-Feb,B,"[Hotdog,Book,Beer]"
371,Roseanne Winfield,23,B15,null,null,14-Feb,B,[Softdrink]
251,Rodger Dorine,21,B15,null,null,3-Feb,B,"[Softdrink,Hotdog]"
155,Lorraine Alyse,34,B15,null,null,25-Feb,B,"[Book,Beer]"
84,Kristins Vin,26,B15,null,null,19-Feb,B,"[Hotdog,Book,Beer]"
447,Ferdinand Dwain,34,B15,null,null,21-Feb,B,[Beer]
191,Crew Susanna,20,B15,null,null,7-Feb,B,"[Softdrink,Hotdog,Book]"
313,Rodger Dorine,21,B15,null,null,9-Feb,B,"[Softdrink,Beer]"
176,Kade Fae,21,B15,null,null,23-Feb,B,"[Softdrink,Hotdog,Beer]"
444,Mikayla Nevil,24,B15,null,null,20-Feb,B,"[Softdrink,Hotdog]"
224,Ren Aron,37,B15,null,null,1-Feb,B,[Hotdog]
140,Crew Susanna,20,B15,null,null,24-Feb,B,[Hotdog]
284,Tad Kathryn,29,B15,null,null,6-Feb,B,"[Softdrink,Beer]"
75,Gertie Cierra,33,B15,null,null,20-Jan,B,"[Softdrink,Hotdog,Beer]"
190,Ibrahim Gerarda,29,B15,null,null,7-Feb,B,"[Softdrink,Hotdog,Beer]"
163,Jeane Rosalie,32,B15,null,null,11-Feb,B,[Book]
213,Justina Marisa,38,B15,null,null,10-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
274,Roseanne Winfield,23,B15,null,null,5-Feb,B,"[Hotdog,Book]"
259,Pece Ravi,30,B15,null,null,4-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
60,Suz Sophie,27,B15,null,null,25-Jan,B,"[Softdrink,Hotdog]"
381,Tad Kathryn,29,B15,null,null,15-Feb,B,[]
208,Mikayla Nevil,24,B15,null,null,5-Feb,B,"[Softdrink,Hotdog]"
126,Justina Marisa,38,B15,null,null,22-Feb,B,"[Hotdog,Book,Beer]"
358,Lorraine Alyse,34,B15,null,null,13-Feb,B,"[Softdrink,Book,Beer]"
8,Marcy Ruthie,21,B15,null,null,19-Jan,B,"[Softdrink,Hotdog,Beer]"
345,Moreen Caren,29,B15,null,null,12-Feb,B,[Softdrink]
118,Moreen Caren,29,B15,null,null,21-Feb,B,[Softdrink]
160,Mikayla Nevil,24,B15,null,null,11-Feb,B,"[Softdrink,Hotdog]"
239,Lexi Kester,32,B15,null,null,2-Feb,B,[]
303,Bethel Romy,32,B15,null,null,8-Feb,B,"[Book,Beer]"
28,Moreen Caren,29,B15,null,null,22-Jan,B,"[Softdrink,Hotdog,Book,Beer]"
420,Connell Sela,37,B15,null,null,18-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
407,Gertrude Jezza,20,B15,null,null,17-Feb,B,[Softdrink]
464,Ty Jenessa,33,B15,null,null,23-Feb,B,"[Softdrink,Hotdog]"
38,Tad Kathryn,29,B15,null,null,23-Jan,B,"[Softdrink,Hotdog]"
396,Moreen Caren,29,B15,null,null,16-Feb,B,"[Softdrink,Beer]"
88,Carissa Alexandria,19,B15,null,null,19-Feb,B,"[Softdrink,Book]"
13,Connell Sela,37,B15,null,null,21-Jan,B,"[Softdrink,Hotdog,Beer]"
216,Gertie Cierra,33,B15,null,null,10-Feb,B,"[Softdrink,Hotdog,Beer]"
112,Gertie Cierra,33,B6,null,null,21-Feb,B,"[Book,Beer]"
247,Sinclair Blythe,30,B6,null,null,3-Feb,B,"[Softdrink,Hotdog]"
341,Kristins Vin,26,B6,null,null,12-Feb,B,"[Softdrink,Hotdog,Book]"
367,Byrne Oralie,18,B6,null,null,14-Feb,B,[Hotdog]
241,Gertrude Jezza,20,B6,null,null,2-Feb,B,[Softdrink]
522,Rachyl Roly,18,B6,C,Fight,22-Feb,B,"[Hotdog,Beer]"
485,Oswin Tillie,24,B6,C,Fight,22-Jan,B,[Beer]
12,Lexi Kester,32,B6,null,null,21-Jan,B,[Book]
264,Mikayla Nevil,24,B6,null,null,4-Feb,B,"[Softdrink,Book]"
211,Lexi Kester,32,B6,null,null,10-Feb,B,[Softdrink]
490,Sinclair Kendal,21,B6,A,Fight,24-Jan,B,"[Softdrink,Hotdog]"
483,Rachyl Roly,18,B6,C,Eject,20-Jan,B,[Beer]
332,Gertie Cierra,33,B6,null,null,11-Feb,B,[Hotdog]
6,Lorraine Alyse,34,B6,null,null,19-Jan,B,[]
379,Gertrude Jezza,20,B6,null,null,15-Feb,B,[]
58,Rebekah Sharlene,40,B6,null,null,25-Jan,B,"[Softdrink,Hotdog]"
160,Mikayla Nevil,24,B6,null,null,11-Feb,B,"[Softdrink,Hotdog]"
290,Pece Ravi,30,B6,null,null,7-Feb,B,"[Softdrink,Hotdog,Book]"
324,Connie Nadia,32,B6,null,null,10-Feb,B,"[Hotdog,Book]"
405,Roseanne Winfield,23,B6,null,null,17-Feb,B,"[Softdrink,Hotdog,Beer]"
489,Sinclair Kendal,21,B6,B,Fight,23-Jan,B,"[Softdrink,Hotdog]"
354,Moreen Caren,29,B6,null,null,13-Feb,B,[Softdrink]
488,Rachyl Roly,18,B6,C,Knife,23-Jan,B,"[Softdrink,Beer]"
312,Sinclair Blythe,30,B6,null,null,9-Feb,B,"[Softdrink,Hotdog,Book]"
525,Sinclair Kendal,21,B6,C,Knife,23-Feb,B,"[Softdrink,Beer]"
147,Byrne Oralie,18,B6,null,null,25-Feb,B,[Hotdog]
418,Ren Aron,37,B6,null,null,18-Feb,B,"[Softdrink,Hotdog]"
273,Rebekah Sharlene,40,B6,null,null,5-Feb,B,"[Softdrink,Hotdog,Book]"
431,Praise Karina,39,B6,null,null,19-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
86,Roseanne Winfield,23,B6,null,null,19-Feb,B,"[Book,Beer]"
520,Rachyl Roly,18,B6,C,Eject,20-Feb,B,"[Hotdog,Beer]"
459,Roseanne Winfield,23,B9,null,null,22-Feb,B,"[Softdrink,Hotdog]"
20,Dennis Roseanne,38,B9,null,null,21-Jan,B,"[Softdrink,Hotdog,Beer]"
405,Roseanne Winfield,23,B9,null,null,17-Feb,B,"[Softdrink,Hotdog,Beer]"
230,Karter Eppie,32,B9,null,null,1-Feb,B,[Softdrink]
333,Baxter Georgene,24,B9,null,null,11-Feb,B,"[Hotdog,Beer]"
445,Ibrahim Gerarda,29,B9,null,null,21-Feb,B,"[Softdrink,Book]"
247,Sinclair Blythe,30,B9,null,null,3-Feb,B,"[Softdrink,Hotdog]"
113,Connell Sela,37,B9,null,null,21-Feb,B,[Softdrink]
441,Karter Eppie,32,B9,null,null,20-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
237,Rodger Dorine,21,B9,null,null,2-Feb,B,[]
95,Justina Marisa,38,B9,null,null,20-Feb,B,"[Softdrink,Hotdog]"
301,Julian Monday,21,B9,null,null,8-Feb,B,"[Softdrink,Hotdog,Beer]"
523,Oswin Tillie,24,B9,C,Eject,5-Feb,B,"[Softdrink,Beer]"
148,Marcy Ruthie,21,B9,null,null,25-Feb,B,"[Softdrink,Hotdog]"
37,Debbi Carley,35,B9,null,null,23-Jan,B,"[Softdrink,Beer]"
481,Oswin Tillie,24,B9,C,Fight,19-Jan,B,"[Softdrink,Beer]"
349,Ren Aron,37,B9,null,null,12-Feb,B,[Softdrink]
180,Ren Aron,37,B9,null,null,23-Feb,B,[Softdrink]
312,Sinclair Blythe,30,B9,null,null,9-Feb,B,"[Softdrink,Hotdog,Book]"
368,Karter Eppie,32,B9,null,null,14-Feb,B,"[Softdrink,Hotdog,Book]"
486,Rachyl Roly,18,B9,C,Eject,22-Jan,B,"[Softdrink,Hotdog,Beer]"
482,Oswin Tillie,24,B9,C,Eject,20-Jan,B,[Beer]
463,Debbi Carley,35,B9,null,null,23-Feb,B,[Hotdog]
519,Oswin Tillie,24,B9,C,Eject,7-Feb,B,"[Softdrink,Hotdog,Beer]"
280,Mikayla Nevil,24,B9,null,null,6-Feb,B,"[Softdrink,Hotdog]"
138,Bethel Romy,32,B9,null,null,24-Feb,B,"[Softdrink,Book,Beer]"
161,Ogden Terrance,26,B9,null,null,11-Feb,B,[Hotdog]
511,Sanjana Pooja,21,B9,A,Warning,19-Feb,B,[Beer]
511,Sanjana Pooja,21,B9,C,Fight,19-Feb,B,[Beer]
258,Praise Karina,39,B9,null,null,4-Feb,B,[]
213,Justina Marisa,38,B9,null,null,10-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
393,Suz Sophie,27,B9,null,null,16-Feb,B,"[Softdrink,Hotdog,Book]"
387,Moreen Caren,29,B9,null,null,15-Feb,B,[Softdrink]
147,Byrne Oralie,18,B8,null,null,25-Feb,B,[Hotdog]
489,Sinclair Kendal,21,B8,B,Fight,23-Jan,B,"[Softdrink,Hotdog]"
12,Lexi Kester,32,B8,null,null,21-Jan,B,[Book]
483,Rachyl Roly,18,B8,C,Eject,20-Jan,B,[Beer]
113,Connell Sela,37,B8,null,null,21-Feb,B,[Softdrink]
333,Baxter Georgene,24,B8,null,null,11-Feb,B,"[Hotdog,Beer]"
230,Karter Eppie,32,B8,null,null,1-Feb,B,[Softdrink]
312,Sinclair Blythe,30,B8,null,null,9-Feb,B,"[Softdrink,Hotdog,Book]"
247,Sinclair Blythe,30,B8,null,null,3-Feb,B,"[Softdrink,Hotdog]"
213,Justina Marisa,38,B8,null,null,10-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
445,Ibrahim Gerarda,29,B8,null,null,21-Feb,B,"[Softdrink,Book]"
387,Moreen Caren,29,B8,null,null,15-Feb,B,[Softdrink]
520,Rachyl Roly,18,B8,C,Eject,20-Feb,B,"[Hotdog,Beer]"
48,Lexi Kester,32,B8,null,null,24-Jan,B,"[Softdrink,Beer]"
301,Julian Monday,21,B8,null,null,8-Feb,B,"[Softdrink,Hotdog,Beer]"
86,Roseanne Winfield,23,B8,null,null,19-Feb,B,"[Book,Beer]"
367,Byrne Oralie,18,B8,null,null,14-Feb,B,[Hotdog]
349,Ren Aron,37,B8,null,null,12-Feb,B,[Softdrink]
124,Debbi Carley,35,B8,null,null,22-Feb,B,"[Softdrink,Hotdog,Beer]"
7,Jeane Rosalie,32,B8,null,null,19-Jan,B,"[Softdrink,Beer]"
291,Baxter Georgene,24,B8,null,null,7-Feb,B,"[Softdrink,Hotdog,Beer]"
179,Moreen Caren,29,B8,null,null,23-Feb,B,"[Softdrink,Hotdog]"
172,Mikayla Nevil,24,B8,null,null,23-Feb,B,"[Softdrink,Hotdog]"
393,Suz Sophie,27,B8,null,null,16-Feb,B,"[Softdrink,Hotdog,Book]"
58,Rebekah Sharlene,40,B8,null,null,25-Jan,B,"[Softdrink,Hotdog]"
486,Rachyl Roly,18,B8,C,Eject,22-Jan,B,"[Softdrink,Hotdog,Beer]"
138,Bethel Romy,32,B8,null,null,24-Feb,B,"[Softdrink,Book,Beer]"
523,Oswin Tillie,24,B8,C,Eject,5-Feb,B,"[Softdrink,Beer]"
405,Roseanne Winfield,23,B8,null,null,17-Feb,B,"[Softdrink,Hotdog,Beer]"
192,Moreen Caren,29,B8,null,null,7-Feb,B,"[Softdrink,Beer]"
459,Roseanne Winfield,23,B12,null,null,22-Feb,B,"[Softdrink,Hotdog]"
218,Connell Sela,37,B12,null,null,10-Feb,B,"[Softdrink,Hotdog,Book]"
280,Mikayla Nevil,24,B12,null,null,6-Feb,B,"[Softdrink,Hotdog]"
407,Gertrude Jezza,20,B12,null,null,17-Feb,B,[Softdrink]
334,Lexi Kester,32,B12,null,null,11-Feb,B,"[Softdrink,Hotdog,Book]"
208,Mikayla Nevil,24,B12,null,null,5-Feb,B,"[Softdrink,Hotdog]"
139,Connell Sela,37,B12,null,null,24-Feb,B,"[Softdrink,Book]"
190,Ibrahim Gerarda,29,B12,null,null,7-Feb,B,"[Softdrink,Hotdog,Beer]"
154,Bethel Romy,32,B12,null,null,25-Feb,B,"[Softdrink,Hotdog]"
380,Melville Brenden,37,B12,null,null,15-Feb,B,"[Softdrink,Book,Beer]"
463,Debbi Carley,35,B12,null,null,23-Feb,B,[Hotdog]
248,Rebekah Sharlene,40,B12,null,null,3-Feb,B,[Softdrink]
87,Bethel Romy,32,B12,null,null,19-Feb,B,"[Hotdog,Book,Beer]"
313,Rodger Dorine,21,B12,null,null,9-Feb,B,"[Softdrink,Beer]"
162,Praise Karina,39,B12,null,null,11-Feb,B,"[Softdrink,Beer]"
370,Justina Marisa,38,B12,null,null,14-Feb,B,"[Softdrink,Hotdog]"
238,Lorraine Alyse,34,B12,null,null,2-Feb,B,"[Softdrink,Hotdog]"
231,Dennis Roseanne,38,B12,null,null,1-Feb,B,[Hotdog]
101,Rebekah Sharlene,40,B12,null,null,20-Feb,B,[Softdrink]
356,Tad Kathryn,29,B12,null,null,13-Feb,B,[Hotdog]
394,Pece Ravi,30,B12,null,null,16-Feb,B,[Softdrink]
30,Bethel Romy,32,B12,null,null,22-Jan,B,[Softdrink]
37,Debbi Carley,35,B12,null,null,23-Jan,B,"[Softdrink,Beer]"
423,Justina Marisa,38,B12,null,null,18-Feb,B,"[Softdrink,Book]"
265,Ren Aron,37,B12,null,null,4-Feb,B,"[Softdrink,Beer]"
74,Carissa Alexandria,19,B12,null,null,20-Jan,B,"[Softdrink,Beer]"
7,Jeane Rosalie,32,B12,null,null,19-Jan,B,"[Softdrink,Beer]"
325,Charis June,32,B12,null,null,10-Feb,B,"[Softdrink,Hotdog]"
302,Marcy Ruthie,21,B12,null,null,8-Feb,B,[Softdrink]
51,Connell Sela,37,B12,null,null,24-Jan,B,[Beer]
446,Ty Jenessa,33,B12,null,null,21-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
342,Baxter Georgene,24,B12,null,null,12-Feb,B,"[Softdrink,Hotdog]"
125,Crew Susanna,20,B12,null,null,22-Feb,B,"[Hotdog,Book]"
56,Praise Karina,39,B1,null,null,25-Jan,B,"[Softdrink,Hotdog]"
468,Ibrahim Gerarda,29,B1,null,null,23-Feb,B,"[Softdrink,Hotdog,Beer]"
171,Lexi Kester,32,B1,null,null,23-Feb,B,[Softdrink]
158,Gertrude Jezza,20,B1,null,null,11-Feb,B,"[Softdrink,Hotdog]"
35,Mikayla Nevil,24,B1,null,null,23-Jan,B,"[Softdrink,Hotdog,Book]"
353,Byrne Oralie,18,B1,null,null,13-Feb,B,[Beer]
122,Moreen Caren,29,B1,null,null,22-Feb,B,"[Softdrink,Beer]"
11,Kristins Vin,26,B1,null,null,21-Jan,B,"[Softdrink,Book]"
250,Gertrude Jezza,20,B1,null,null,3-Feb,B,[Beer]
256,Melville Brenden,37,B1,null,null,4-Feb,B,"[Hotdog,Beer]"
199,Dennis Roseanne,38,B1,null,null,5-Feb,B,"[Softdrink,Hotdog]"
184,Karter Eppie,32,B1,null,null,7-Feb,B,"[Softdrink,Hotdog]"
229,Carey Dakota,21,B1,null,null,1-Feb,B,[Hotdog]
70,Alysa Sara,35,B1,null,null,20-Jan,B,[Softdrink]
386,Ty Jenessa,33,B1,null,null,15-Feb,B,"[Hotdog,Beer]"
399,Gertrude Jezza,20,B1,null,null,16-Feb,B,"[Softdrink,Hotdog,Beer]"
366,Dennis Roseanne,38,B1,null,null,14-Feb,B,[Beer]
440,Jeane Rosalie,32,B1,null,null,20-Feb,B,[]
289,Humphrey Tamela,20,B1,null,null,7-Feb,B,"[Softdrink,Hotdog]"
403,Rodger Dorine,21,B1,null,null,17-Feb,B,"[Softdrink,Book]"
153,Ferdinand Dwain,34,B1,null,null,25-Feb,B,"[Hotdog,Beer]"
46,Gertrude Jezza,20,B1,null,null,24-Jan,B,"[Softdrink,Hotdog]"
233,Pece Ravi,30,B1,null,null,2-Feb,B,[Hotdog]
104,Dennis Roseanne,38,B1,null,null,20-Feb,B,"[Softdrink,Hotdog,Book,Beer]"
